E25,E0,E13,E4,E7,E1,E8,E11,E15,E3,E6,E5,E16,E22,E21,E12,E23,E17,E10,E18,E19,E9,E20,E2,E24,E14
0,"51657,[144],[32],[59],[175],[2],[19, 9, 42]",31587,"2194,[72],[72]","0,[1, 129],[47, 57]","5624,[152],[45, 32]","0,[72],[72]","898,[4, 8, 5]","1,[152]",0,1,0,18,"0,[52, 135]",5815,6,4669,"42633,[97],[67],[153],[175],[12],[4, 36, 75]",0,4,"2878,[]","1,[52, 191]","0,[49, 76],[1, 79]","0,[1, 148]",2,"2161,[145]"
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,"0,[72],[72]","2,[1, 129],[47, 57]","352,[172],[45, 32]","2,[72],[72]",,"0,[172]",,1,1,,"0,[52, 191]",1,5,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,9,,"0,[52, 135]","0,[49, 76],[1, 79]","0,[1, 148]",2,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",2,"0,[72],[72]","1,[1, 129],[47, 57]","4282,[55],[45, 141]","0,[72],[72]",,"160,[55]",,4,1,,"0,[52, 135]",3,5,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,7,,"0,[52, 135]","0,[49, 76],[1, 79]","0,[1, 148]",2,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",2,"0,[72],[72]","0,[1, 129],[47, 57]","7299,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,1,,"0,[52, 191]",1,6,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,8,,"0,[52, 191]","0,[49, 76],[1, 79]","0,[1, 148]",1,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,"0,[72],[72]","3867,[1, 89],[47, 55]","371,[172],[45, 32]","0,[72],[72]",,"2,[172]",,,1,,,0,6,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,7,,,"0,[49, 76],[1, 79]","0,[1, 148]",1,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",2,"0,[72],[72]","0,[1, 89],[47, 55]","4040,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,2,,,1,6,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,7,,,"0,[49, 76],[1, 79]","0,[1, 148]",1,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,"0,[72],[72]","0,[1, 89],[47, 55]","360,[172],[45, 32]","0,[72],[72]",,"1,[172]",,,0,,,16197,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 148]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",3,"0,[72],[72]","1,[1, 89],[47, 55]","7279,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,0,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 148]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",1,,"0,[1, 89],[47, 55]","382,[172],[45, 32]","0,[72],[72]",,"1,[172]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 148]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,,"3,[1, 89],[47, 55]","29091,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 148]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",2,,"1,[1, 89],[47, 55]","353,[172],[45, 32]","0,[72],[72]",,"1,[172]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,,"3,[1, 89],[47, 55]","85635,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",2,,"1,[1, 89],[47, 55]","367,[172],[45, 32]","0,[72],[72]",,"2,[172]",,,0,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 79]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",8044,,"0,[1, 89],[47, 55]","2773,[55],[45, 141]","0,[72],[72]",,"331,[55]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,,"5,[1, 89],[47, 55]","6235,[152],[45, 32]","0,[72],[72]",,"1,[152]",,,0,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",1,,"170,[1, 89],[47, 55]","336,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",0,,"6,[1, 89],[47, 55]","86172,[152],[45, 32]",,,"0,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 75]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 42]",1,,"4499,[1, 74],[47, 149]","367,[172],[45, 32]",,,"0,[172]",,,1,,,,,,"1,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"1,[144],[32],[59],[175],[2],[19, 9, 53]",1,,"4105,[1, 168],[47, 57]","1315,[152],[45, 32]",,,"0,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 53]",0,,"0,[1, 168],[47, 57]","342,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 109]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 53]",1,,"0,[1, 168],[47, 57]","67609,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 167]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 53]",1,,"0,[1, 168],[47, 57]","364,[172],[45, 32]",,,"1,[172]",,,0,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 167]",,
,"0,[144],[32],[59],[175],[2],[19, 9, 53]",0,,"0,[1, 168],[47, 57]","2856,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[97],[67],[153],[175],[12],[4, 36, 70]",0,,,,"0,[49, 76],[1, 89]","0,[1, 167]",,
,"84341,[144],[32],[153],[175],[23],[13, 100, 25]",94,,"0,[1, 168],[47, 57]","342,[172],[45, 32]",,,"0,[172]",,,1,,,,,,"13333,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 167]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",3,,"0,[1, 168],[47, 57]","4214,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 167]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",18161,,"0,[1, 168],[47, 57]","458,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 168],[47, 57]","16529,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 168],[47, 57]","337,[172],[45, 32]",,,"0,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"312,[1, 148],[47, 57]","32947,[152],[45, 32]",,,"0,[152]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","368,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","31123,[152],[45, 32]",,,"0,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","331,[172],[45, 32]",,,"2,[172]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","85963,[152],[45, 32]",,,"1,[152]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","367,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","71856,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"31534,[95],[32],[165],[175],[16],[12, 11, 6]",11896,,"0,[1, 148],[47, 57]","343,[172],[45, 32]",,,"1,[172]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"0,[1, 148],[47, 57]","2447,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"0,[1, 148],[47, 57]","377,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"24404,[1, 107],[47, 57]","47946,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","347,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"0,[1, 107],[47, 57]","5006,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"3,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"1,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",64,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"3262,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",28791,,"4,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","13422,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"1,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"0,[1, 107],[47, 57]","376,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"27778,[1, 81],[47, 57]","3050,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","1,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","4633,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"1,[95],[32],[165],[175],[16],[12, 11, 39]",45,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"1,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"53039,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"1,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",9612,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 80]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",0,,"0,[1, 81],[47, 57]","53088,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"38937,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"0,[1, 61],[47, 57]","1,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 121]",,
,"7,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",1,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","8549,[152],[45, 32]",,,"0,[152]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",18715,,"0,[1, 61],[47, 57]","350,[172],[45, 32]",,,"1,[172]",,,,,,,,,"10635,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","85924,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 32],[1]","0,[1, 121]",,
,"516,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 61],[47, 57]","357,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 121]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"45369,[1, 60],[47, 149]","17217,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 121]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"17012,[1, 184],[47, 149]","340,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 124]",,
